lon	lat	Especie	Hábitat	Código de colección	Fecha de observación	Foto
-75.5951402	6.2196757	Lepiota	Suelo, cercano a un Eucalipto			
-75.5953472	6.21947	Entoloma? Pluteus?	Suelo, asociados a palmera (Dypsis lutescens)	2024-05-12-14-00	2024-05-12	
-75.5953472	6.21947	?	Suelo, asociados a palmera (Dypsis lutescens)	2024-05-14-11-40	2024-05-14	https://imgur.com/a/6rz2pzY
-75.5956722	6.2193045	Xylaria	En un pedazo de madera podrida en el suelo			
-75.5959902	6.2194249	Agaricus	En una montaña de hojarasca en descomposición			
-75.59796533	6.2211218	Irpex	En suelo		2024-05-17	https://imgur.com/a/ygopa0U
-75.59569584	6.21931977	Lepiota	En suelo con una capa delgada de hojarasca			
-75.59568243	6.21931612	Lycoperdon	Suelo			
-75.59530809	6.21950234	Lycoperdon	Pasto			
-75.59588883	6.21983578	Macrolepiota? Chlorophyllum?	Suelo	2024-05-12-2000	2024-05-12	
-75.59507752	6.21974515	Scleroderma	Suelo, cerca a un guayacán (Handroanthus chrysanthus)			
-75.59554087	6.21928825	Leucocoprinus fragilissimus	Suelo			
-75.59523865	6.21969609	Coprinellus	Sobre una palmera en descomposición			
-75.59607938	6.2196098	?	Creciendo al lado de un tronco cortado			
-75.59588538	6.21967773	?	Suelo	2024-05-17-0904	2024-05-17	
-75.59656916	6.21984371	?	Hojarasca	2024-05-17-0907	2024-05-17	https://imgur.com/a/OteeVRZ
-75.59703826	6.22047881	?	Creciendo en una raíz de mango (Mangifera indica)	2024-05-17-0910	2024-05-17	
-75.59559637	6.22036815	Lepiota?	Creciendo al lado de un tronco cortado en descomposición	2024-05-17-1503	2024-05-17	https://imgur.com/a/zSQqcFq
-75.59566169	6.2203911	?	Suelo	2024-05-17-1502	2024-05-17	
-75.5972203	6.21995692	?	Suelo		2024-05-06	https://imgur.com/a/vtefjRN
